Lema;LlenguaOrigen;Lemes_Morfema;PluralIrregular;CatGramatical;NivellLlengua;CatSemantica
buscapoals;;;;masculí invariable;;
busca-renous;;;;masculí i femení invariable;;
busca-renyines;;;;masculí i femení invariable;;
busca-revoltes;;;;masculí i femení invariable;;
buscatòfones;;;;masculí invariable;;
busil·lis;;;;masculí invariable;;
busnada;;;;femení;;
busquerola;;;;femení;;
bustiatge;;;;masculí;;
bustier;;;;masculí;;
butlador;;;;masculí;;
butlaire;;;;masculí i femení;;
butlar;;;;verb transitiu;;
butlari;;;;masculí;;
butler;;-a;;masculí i femení;;
butller;;-a;;masculí i femení;;
butró;;;;masculí;;
butroner;;-a;;masculí i femení;;
C;;;;femení;;
cabanyal;;;;masculí;;
cabdetà;;-ana;;adjectiu i masculí i femení;;
cabdetà;;-ana;;adjectiu;;
cabellets;;;;masculí plural;;
caboteria;;;;femení;;
cabrafigueral;;;;masculí;;
cabrerissa;;;;femení;;
cabriolejar;;;;verb intransitiu;;
caçatorpeders;;;;masculí invariable;;
cacaua;;;;femení;;
cacereny;;-a;;adjectiu i masculí i femení;;
cacereny;;-a;;adjectiu;;
cadafaler;;-a;;masculí i femení;;
cadarnera;;;;femení;;
cadirada;;;;femení;;
cadireria;;;;femení;;
cadirot;;;;masculí;;
cafarnaüm;;;;masculí;;
cafeïcultor;;-a;;masculí i femení;;
cafinitrina;;;;femení;;
cagaestaques;;;;masculí invariable;;
cagallonada;;;;femení;col·loquial;
cagarnera;;;;femení;;
cagarri;;;;adjectiu i masculí i femení;col·loquial;
cagarrita;;;;adjectiu i masculí i femení;col·loquial;
cagarrita;;;;femení;col·loquial;
cagarritada;;;;femení;col·loquial;
cagarró;;;;masculí;col·loquial;
cagarró;;;;adjectiu i masculí i femení;col·loquial;
cagarrot;;;;masculí;col·loquial;
cagarrulla;;;;femení;col·loquial;
cagarrullada;;;;femení;col·loquial;
cagarruta;;;;femení;col·loquial;
cagarrutada;;;;femení;col·loquial;
cagatori;;;;masculí;col·loquial;
cagatxoles;;;;femení plural;col·loquial;
caïnisme;;;;masculí;;
caixmar;;;;verb transitiu;;
caixonada;;;;femení;;
calabuixa;;;;femení;;
calamaret;;;;masculí;;
calamaró;;;;masculí;;
calcador;;-a;;masculí i femení;;
calçadura;;;;femení;;
calçut;;-uda;;adjectiu;;
calderonet;;;;masculí;;
càlem;;;;masculí;;
calentura;;;;femení;col·loquial;
calfamans;;;;masculí invariable;;
calforro;;-a;;adjectiu i masculí i femení;vulgar;
callòs;;;;masculí;;
callusenc;;-a;;adjectiu i masculí i femení;;
callusenc;;-a;;adjectiu;;
calònia;;;;femení;antic;
calorifugar;;;;verb transitiu;;
caloritzar;;;;verb transitiu;;
camalló;;;;masculí;;
camamirla;;;;femení;;
camarot;;;;masculí;;
camarra;;;;femení;;
cambronar;;;;masculí;;
camelenc;;-a;;adjectiu i masculí i femení;;
camelenc;;-a;;adjectiu;;
camelleta;;;;femení;;
caminata;;;;femení;col·loquial;
camó;;;;masculí;;
camorra;;;;femení;col·loquial;
camorrista;;;;masculí i femení;col·loquial;
can;;;;contracció;;
canaladura;;;;femení;;
canalat;;;;masculí;;
canallesc;;-a;;adjectiu;;
canasta;;;;femení;;
canceròleg;;-òloga;;masculí i femení;;
cancerològic;;-a;;adjectiu;;
cançonada;;;;femení;;
candonguer;;-a;;adjectiu;;
canela;;;;femení;;
canemer;;-a;;adjectiu;;
cangrena;;;;femení;col·loquial;
cangrenar;;;;verb transitiu i pronominal;col·loquial;
cangrenós;;-osa;;adjectiu;col·loquial;
cano;;;;masculí;;
cantalet;;;;masculí i femení;;
cantalet;;;;loc. verb.;;
cantarulla;;;;femení;;
canterets;;;;masculí plural;;
cantinal;;;;masculí;;
cantunyar;;;;verb intransitiu;;
canxa;;;;femení;;
canyamís;;;-issos;masculí;;
canyaró;;;;masculí;;
canyaules;;;;masculí invariable;;
canyauli;;;;adjectiu i masculí i femení;;
capdur;;;;masculí;;
capelaire;;;;masculí;;
capitellada;;;;femení;;
capmanyenc;;-a;;adjectiu i masculí i femení;;
capmanyenc;;-a;;adjectiu;;
capnomància;;;;femení;;
capollada;;;;femení;;
capollar;;;;verb intransitiu;;
caporró;;;;masculí;;
caporronada;;;;femení;;
caporrutxa;;;;femení;;
caporrutxar;;;;verb transitiu;;
caporrutxo;;;;masculí;;
caporrutxo;;;;loc. verb.;;
capotet;;;;masculí;;
capritxo;;;;masculí;;
capsulat;;-ada;;adjectiu;;
captorn;;;;masculí;;
caquisser;;;;masculí;;
carabasseral;;;;masculí;;
carabassinada;;;;femení;;
carabassut;;;;locució;;
caradura;;;;adjectiu i masculí i femení;;
carafal;;;;masculí;;
caragolejar;;;;verb intransitiu;;
caramanyola;;;;femení;;
caramboixa;;;;femení;;
caramel·lo;;;;masculí;;
carantoina;;;;femení;;
carar;;;;verb transitiu;;
cara-xuplat;;-ada;;adjectiu;;
carbòlic;;;;adjectiu s.l.;;
carbonúria;;;;femení;;
carcasselles;;;;loc. adv. s.l.;;
carcasser;;-a;;masculí i femení;;
carcavó;;;;masculí;;
carcinològic;;-a;;adjectiu;;
cardanxa;;;;femení;;
cardanxar;;;;masculí;;
cardinxar;;;;masculí;;
cardioangiologia;;;;femení;;
cardiocirurgia;;;;femení;;
cardiocirurgià;;-ana;;masculí i femení;;
cardioesclerosi;;;;femení;;
cardioespasme;;;;masculí;;
cardioestenosi;;;;femení;;
càrdium;;;;masculí;;
cardonxa;;;;femení;;
carencial;;;;adjectiu;;
carenòstil;;;;masculí;;
carent;;;;adjectiu;;
carer;;-a;;adjectiu;;
cariació;;;;femení;;
caricaturejar;;;;verb transitiu;;
cariciós;;-osa;;adjectiu;;
carinyo;;;;masculí;col·loquial;
carinyo;;;;interjecció;col·loquial;
cariós;;-osa;;adjectiu;;
caripena;;;;femení;;
carletà;;-ana;;adjectiu i masculí i femení;;
carneratge;;;;masculí;;
carnestoltenc;;-a;;adjectiu;;
carosi;;;;femení;;
carpesà;;-ana;;adjectiu i masculí i femení;;
carpesà;;-ana;;adjectiu;;
carracateu;;;;masculí;;
carracateu;;;;masculí i femení;;
carragheen;;;;masculí;;
carrancló;;-ona;;adjectiu i masculí i femení;;
carrascós;;-osa;;adjectiu;;
carrascosa;;;;femení;;
carrasquera;;;;femení;;
carrasqueral;;;;masculí;;
carregable;;;;adjectiu;;
carrejador;;-a;;masculí i femení;;
carrejador;;-a;;masculí;;
carrejament;;;;Masculí;;
carretejador;;-a;;masculí i femení;;
carreteria;;;;femení;;
carrís;;;-issos;masculí;;
carrissal;;;;masculí;;
carrissar;;;;masculí;;
carritxal;;;;masculí;;
carromato;;;;masculí;;
carruatger;;-a;;masculí i femení;;
cartòmetre;;;;masculí;;
cartutxada;;;;femení;;
carxer;;-a;;adjectiu i masculí i femení;;
carxer;;-a;;adjectiu;;
carxofada;;;;femení;;
carxofeta;;;;femení;;
casamenta;;;;femení;col·loquial;
casamenter;;-a;;adjectiu i masculí i femení;;
casanova;;;;masculí;;
cascallar;;;;masculí;;
cascallós;;-a;;adjectiu;;
cascanou;;;;masculí;;
cascarrar;;;;verb transitiu;;
cascarrejar;;;;verb intransitiu;;
cascavellana;;;;femení;;
cascaveller;;-a;;adjectiu;;
cascavellico;;;;masculí;;
casmar;;;;verb transitiu;;
casmòdia;;;;femení;;
caspell;;;;masculí;;
casquera;;;;masculí i femení;;
casquera;;;;femení;;
casser;;;;masculí;;
cassetera;;;;femení;;
castanyeral;;;;masculí;;
castanyetada;;;;femení;;
castanyetejar;;;;verb intransitiu;;
castanyoleig;;;;masculí;;
castanyolejar;;;;verb intransitiu;;
castanyoler;;-a;;masculí i femení;;
castró;;;;masculí;;
castrum;llatí;;;masculí;;
casuny;;;;masculí;;
casupa;;;;femení;;
catacrec;;;;onomatopeia i masculí;;
catafòric;;-a;;adjectiu;;
catarí;;;;masculí;;
catch;anglés;;;masculí;;
catecumenal;;;;adjectiu;;
catequitzador;;-a;;adjectiu;;
catering;anglés;;;masculí;;
catso;;;;interjecció;;
catsoleta;;;;interjecció;;
catxemira;;;;femení;;
catximba;;;;femení;;
catxotxes;;;;masculí i femení invariable;;
caüla;;;;femení;col·loquial;
caüllada;;;;femení;col·loquial;
caustificar;;;;verb transitiu;;
cautxutatge;;;;masculí;;
cavernositat;;;;femení;;
cavil·lositat;;;;femení;;
cavutxar;;;;verb transitiu;;
cebada;;;;femení;;
cebollar;;;;masculí;;
cecografia;;;;femení;;
ceda;;;;femení;antic;
cedé;;;-és;masculí;;
cefalitis;;;;femení invariable;;
cefallós;;-osa;;adjectiu i masculí i femení;;
cefalòmetre;;;;masculí;;
cel·lofà;;;;masculí;;
cel·lofan;;;;masculí;;
celestia;;;;femení;;
cellera;;;;femení;;
cello;italià;;;masculí;;
celtista;;;;masculí i femení;;
cenari;;;;masculí;;
cendrinós;;-osa;;adjectiu;;
cenestèsic;;-a;;adjectiu;;
centemboca;;;;masculí;;
centil·la;;;;femení;antic;
cenurosi;;;;femení;;
ceramida;;;;femení;;
ceratomixal;;;;femení plural;;
ceratomixal;;;;femení singular;;
ceriflor;;;;femení;;
cernedura;;;;femení;;
certer;;-a;;adjectiu;;
cervantista;;;;adjectiu i masculí i femení;;
cerverola;;;;femení;;
ciberart;;;;masculí;;
ciberusuari;;-ària;;masculí i femení;;
ciclístic;;-a;;adjectiu;;
cicloespasme;;;;masculí;;
cicutina;;;;femení;;
cientifisme;;;;masculí;;
cientifista;;;;adjectiu;;
cientifista;;;;masculí i femení;;
cigronar;;;;masculí;;
cimenter;;-a;;adjectiu;;
cinesiterapeuta;;;;masculí i femení;;
cinetoscopi;;;;masculí;;
cinquagesma;;;;femení;;
cinquantó;;-ona;;adjectiu i masculí i femení;;
cipreral;;;;masculí;;
ciprerar;;;;masculí;;
circumferencial;;;;adjectiu;;
circumsolar;;;;adjectiu;;
cireral;;;;masculí;;
cirre;;;;masculí;;
cisellable;;;;adjectiu;;
cistany;;;;masculí;;
cistellam;;;;masculí;;
cister;;;;masculí;;
citable;;;;adjectiu;;
citogàmia;;;;femení;;
citòmetre;;;;femení;;
citometria;;;;femení;;
citoquina;;;;femení;;
citra;;;;femení;;
clafir;;;;verb transitiu;;
clafitoll;;;;masculí;;
clafollós;;-osa;;adjectiu;;
claperal;;;;masculí;;
claperar;;;;masculí;;
clapissal;;;;masculí;;
clarianda;;;;femení;;
clarífic;;-a;;adjectiu;;
claudiera;;;;femení;;
clauquillador;;-a;;masculí i femení;;
clauquillar;;;;verb transitiu;;
clausellina;;;;adjectiu i femení;;
clavifoliat;;-ada;;adjectiu;;
clèrum;;;;masculí;;
cleuasme;;;;masculí;;
clevilladís;;-issa;;adjectiu;;
clevillament;;;;masculí;;
clim;;;;masculí;;
clim;;;;loc. verb.;;
clisterofília;;;;femení;;
clossa;;;;femení;;
clotal;;;;masculí;;
clotxinada;;;;femení;;
clotxiner;;-a;;masculí i femení;;
clotxiner;;-a;;masculí;;
clotxiner;;-a;;adjectiu;;
clucada;;;;femení;;
clucar;;;;verb transitiu i intransitiu;;
clucar;;;;locució;;
cluixca;;;;femení;;
cluixida;;;;femení;col·loquial;
cluixidell;;;;masculí;;
cluixidor;;-a;;adjectiu i masculí;col·loquial;
cluiximent;;;;masculí;col·loquial;
cluixir;;;;verb transitiu i intransitiu;col·loquial;
cluixit;;;;masculí;col·loquial;
clusenc;;-a;;adjectiu i masculí i femení;;
clusenc;;-a;;adjectiu;;
coada;;;;femení;;
cobaltina;;;;femení;;
coblista;;;;masculí i femení;;
cobratori;;-òria;;adjectiu;;
cobrecostures;;;;masculí invariable;;
cobriespatles;;;;masculí invariable;;
cocada;;;;femení;;
cocejador;;-a;;adjectiu;;
cocotet;;;;masculí;;
codissal;;;;masculí;;
codonyeral;;;;masculí;;
coentar;;;;verb intransitiu;;
coentorada;;;;femení;;
coereta;;;;femení;;
coetejar;;;;verb intransitiu;;
coetó;;;;masculí;;
cofiner;;-a;;masculí i femení;;
cogombrí;;-ina;;adjectiu;;
cogombro;;;;masculí;;
cohonestació;;;;femení;;
coixcoix;;;;loc. adv.;;
coixinada;;;;femení;;
coixinal;;;;masculí;antic;
coixo;;-a;;loc. orac.;;
coixo;;-a;;adjectiu i masculí i femení;;
coixo;;-a;;locució;;
coldre;;;;verb transitiu;antic;
colivenc;;-a;;adjectiu i masculí i femení;col·loquial;
collalba;;;;adjectiu i femení;;
collerat;;;;masculí;;
collibè;;;;loc. adv. s.l.;;
collins;;;;interjecció;col·loquial;
collinsa;;;;interjecció;col·loquial;
collinses;;;;interjecció;col·loquial;
collistaire;;;;masculí i femení;;
collona;;;;interjecció;col·loquial;
colmena;;;;femení;;
colmenar;;;;masculí;;
colmener;;-a;;masculí i femení;;
colombòfil;;-a;;adjectiu i masculí i femení;;
colomello;;;;masculí;;
coloratiu;;-iva;;adjectiu;;
colorejar;;;;verb intransitiu;;
colpblau;;;;masculí;;
colpbol;;;;masculí;;
colxa;;;;femení;col·loquial;
comboiament;;;;masculí;;
combust;;-a;;adjectiu;;
comminuir;;;;verb transitiu;;
compareiximent;;;;masculí;;
compensatiu;;-va;;adjectiu;;
completable;;;;adjectiu i masculí i femení;;
comprofessor;;-a;;masculí i femení;;
comprometiment;;;;masculí;;
comprovatori;;-òria;;adjectiu;;
comptahores;;;;masculí invariable;;
concatémer;;;;masculí;;
conclau;;;;masculí;;
condidor;;-a;;adjectiu;;
condroclast;;;;masculí;;
condrologia;;;;femení;;
coneixible;;;;adjectiu;;
coneiximent;;;;masculí;;
conformable;;;;adjectiu i masculí i femení;;
congraciador;;-a;;adjectiu;;
congrellament;;;;Masculí;;
congrellar;;;;verb transitiu;;
congrellat;;-ada;;adjectiu;;
conjecturador;;-a;;adjectiu;;
conreament;;;;Masculí;;
consagrable;;;;adjectiu;;
conseguir;;;;verb transitiu;col·loquial;
consellet;;;;masculí;;
consemble;;;;adjectiu;antic;
conservabilitat;;;;femení;;
consociació;;;;femení;;
consolta;;;;femení;;
consonantitzar-se;;;;verb pronominal;;
conspiratori;;-òria;;adjectiu;;
constituïble;;;;adjectiu;;
constituïdor;;-a;;adjectiu i masculí i femení;;
consumable;;;;adjectiu;;
contactòleg;;-òloga;;masculí i femení;;
contaralla;;;;femení;;
contemplable;;;;adjectiu i masculí i femení;;
contentadís;;-issa;;adjectiu i masculí i femení;;
contentament;;;;Masculí;;
contentar;;;;verb transitiu i pronominal;;
contertuli;;-túlia;;masculí i femení;;
contraaleta;;;;femení;;
contraamura;;;;femení;;
contraanàlisi;;;;femení;;
contrabalanceig;;;;masculí;;
contrabalancejar;;;;verb transitiu;;
contrabandejar;;;;verb intransitiu;;
contrabraça;;;;femení;;
contrabracejar;;;;verb intransitiu;;
contracolumna;;;;femení;;
contracompàs;;;-assos;masculí;;
contracor;;;;loc. adv. s.l.;;
contracordar;;;;verb transitiu;;
contracosta;;;;femení;;
contradenúncia;;;;femení;;
contradogal;;;;masculí;;
contraescota;;;;femení;;
contrafigura;;;;femení;;
contrafil;;;;loc. adv. s.l.;;
contraflorat;;-ada;;adjectiu;;
contraforro;;;;masculí;;
contrai;;;;masculí;;
contraintel·ligència;;;;femení;;
contrallei;;;;femení;;
contramalla;;;;femení;;
contraminador;;-a;;adjectiu;;
contramotiu;;;;masculí;;
contrapalanca;;;;femení;;
contrapalanquí;;;;masculí;;
contrapèl;;;;loc. adv.;;
contraprincipi;;;;masculí;;
contraprogramació;;;;femení;;
contraprotest;;;;masculí;;
contraprotesta;;;;femení;;
contraprovar;;;;verb transitiu;;
contrarellotgista;;;;masculí i femení;;
contrariador;;-a;;adjectiu i masculí i femení;;
contrasalmer;;;;masculí;;
contrasalva;;;;femení;;
contrasostre;;;;masculí;;
contravapor;;;;masculí;;
contravirar;;;;verb intransitiu;;
contravolta;;;;femení;;
contraxebró;;;;masculí;;
conturbar;;;;verb transitiu i pronominal;;
convalidable;;;;adjectiu i masculí i femení;;
convencedor;;-a;;adjectiu i masculí i femení;;
convencionalista;;;;masculí i femení;;
convencionalista;;;;adjectiu;;
conveniencier;;-a;;adjectiu;;
convenienciós;;-osa;;adjectiu;;
convinencer;;-a;;adjectiu;;
convocable;;;;adjectiu;;
conxador;;-a;;masculí;;
coopertori;;;;masculí;;
coordinamòmetre;;;;masculí;;
copalífer;;-a;;adjectiu;;
copament;;;;Masculí;;
copernici;;;;masculí;;
copiatge;;;;masculí;;
copino;;;;masculí;;
copla;;;;femení;;
copremesi;;;;femení;;
copresident;;-a;;masculí i femení;;
coproanàlisi;;;;femení;;
coproanticòs;;;-ossos;masculí;;
copronada;;;;femení;;
còptic;;-a;;adjectiu;;
cóquera;;;;adjectiu i femení;;
coradeta;;;;femení;;
coralejar;;;;verb intransitiu;;
corànic;;-a;;adjectiu;;
corbellotada;;;;femení;;
corbineta;;;;femení;;
corcament;;;;Masculí;;
cordador;;-a;;adjectiu;;
cordador;;-a;;masculí i femení;;
cordador;;-a;;masculí;;
cordadura;;;;femení;;
cordeller;;-a;;adjectiu;;
cordeller;;-a;;masculí i femení;;
cordelleria;;;;femení;;
cordifoliat;;-ada;;adjectiu;;
cordotonal;;;;masculí;;
corèopsis;;;;femení invariable;;
coret;;;;masculí;;
corint;;;;masculí;;
corint;;;;adjectiu invariable;;
coristat;;;;masculí;;
corlligar;;;;verb transitiu;;
cormull;;;;masculí;;
cornamuser;;-a;;masculí i femení;;
cornetada;;;;femení;;
cornial;;;;masculí;;
cornificació;;;;femení;;
cornisament;;;;Masculí;;
cornudet;;;;masculí;;
cornugar-se;;;;verb pronominal;;
coromull;;;;masculí;;
coronador;;-a;;adjectiu i masculí i femení;;
coroniforme;;;;adjectiu;;
correlestotes;;;;masculí invariable;col·loquial;
correntilles;;;;femení plural;col·loquial;
correntilles;;;;loc. adv.;;
corretejar;;;;verb intransitiu;antic;
corroborable;;;;adjectiu;;
corroure;;;;verb transitiu i pronominal;;
corruco;;;;masculí;;
corrunxet;;;;masculí;col·loquial;
corseter;;-a;;masculí i femení;;
corseteria;;;;femení;;
corticalització;;;;femení;;
corticífer;;-a;;adjectiu;;
corticiforme;;;;adjectiu;;
corticina;;;;femení;;
corticós;;-osa;;adjectiu;;
cortiner;;-a;;masculí i femení;;
cortineria;;;;femení;;
coscollina;;;;femení;;
coscolló;;;;femení;;
coscollosa;;;;femení;;
cositó;;;;masculí;;
cosmetòleg;;-òloga;;masculí i femení;;
cosmocràcia;;;;femení;;
cosmoquímica;;;;femení;;
cospinera;;;;femení;;
cossigolleig;;;;masculí;;
cossigollejar;;;;verb transitiu;;
costellatge;;;;masculí;;
costerada;;;;femení;;
costerenc;;-a;;adjectiu;;
costerenc;;-a;;adjectiu i masculí i femení;;
costra;;;;femení;;
costralada;;;;femení;;
costralejar-se;;;;verb pronominal;;
costraler;;;;masculí;;
cotimanya;;;;femení;;
cotnós;;-osa;;adjectiu;;
coto-coto;;;;adverbi;;
cotoïna;;;;femení;;
cotompèl;;;;masculí;;
cotonar;;;;masculí;;
cotransducció;;;;femení;;
cotransformació;;;;femení;;
cotufa;;;;femení;;
cotxi;;;;interjecció;;
couché;francés;;;adjectiu i masculí;;
courenc;;-a;;adjectiu;;
covardejar;;;;verb intransitiu;;
covector;;;;masculí;;
covener;;-a;;masculí i femení;;
covil;;;;femení;;
covilar;;;;masculí;;
coxagra;;;;femení;;
coxàlgia;;;;femení;;
cracar;;;;verb transitiu;;
craniectomia;;;;femení;;
craniobates;;;;femení invariable;;
craniografia;;;;femení;;
craniogràfic;;-a;;adjectiu;;
craniòleg;;-òloga;;masculí i femení;;
craniologia;;;;femení;;
craniològic;;-a;;adjectiu;;
craniòmetre;;;;masculí;;
craniota;;;;masculí;;
craniotomia;;;;femení;;
crateriforme;;;;adjectiu;;
crebantament;;;;Masculí;;
crebassat;;-ada;;adjectiu;;
creïllada;;;;femení;;
creixedor;;-a;;adjectiu i masculí i femení;;
creiximent;;;;masculí;;
creiximònia;;;;femení;;
cremadent;;;;loc. adv. s.l.;;
cremadura;;;;femení;;
cremòmetre;;;;masculí;;
cresolet;;;;masculí;;
cresoleta;;;;femení;;
crespadura;;;;femení;;
crespina;;;;femení;;
crestiri;;;;masculí;antic;
creuellera;;;;femení;;
criaturesc;;-a;;adjectiu;;
cric-crec;;;;onomatopeia i masculí;;
cricoaritenoide;;;;adjectiu;;
cricoconàrid;;;;masculí;;
cridament;;;;Masculí;;
cridó;;-ona;;adjectiu i masculí i femení;;
crinal;;;;adjectiu;;
crinal;;;;masculí;;
crinat;;-ada;;adjectiu;;
crioclàstia;;;;femení;;
criodeshidratar;;;;verb transitiu;;
criònica;;;;femení;;
crioprotector;;;;masculí;;
criotropisme;;;;masculí;;
criptodir;;;;masculí;;
criptomitosi;;;;femení;;
crisalidar-se;;;;verb pronominal;;
crismera;;;;femení;;
crisopeia;;;;femení;;
cristal·lofísica;;;;femení;;
cristal·logènesi;;;;femení;;
cristal·loquímica;;;;femení;;
cristianitzador;;-a;;adjectiu i masculí i femení;;
cristiri;;;;masculí;antic;
crochet;francés;;;masculí;;
crocidisme;;;;masculí;;
cromatòcit;;;;masculí;;
cromatoscopi;;;;masculí;;
cromatoscòpia;;;;femení;;
cromíol;;;;masculí;;
cromitzar;;;;verb transitiu;;
cromofotografia;;;;femení;;
cromolitografiar;;;;verb transitiu;;
cromonema;;;;masculí;;
cromoxilografia;;;;femení;;
cronotropisme;;;;masculí;;
cropó;;;;masculí;;
crosquinot;;;;masculí;;
crostar;;;;verb intransitiu i pronominal;;
crostut;;-uda;;adjectiu;;
crown;;;;locució;;
crualda;;;;femení;;
cruatge;;;;masculí;;
crucificador;;;;masculí i femení;;
crudívor;;-a;;adjectiu i masculí i femení;;
crudívor;;-a;;adjectiu;;
cruet;;;;masculí;;
cruixidissa;;;;femení;;
cruós;;-osa;;adjectiu;;
cua-rutlat;;-ada;;adjectiu;;
cucaleta;;;;femení;;
cucanyer;;-a;;masculí i femení;;
cucuc;;;;masculí;;
cúdol;;;;masculí;;
cudolet;;;;loc. verb.;;
cuetina;;;;femení;;
cuirada;;;;femení;;
cuixam;;;;masculí;;
culabela;;;;femení;;
culastró;;;;loc. adv. s.l.;;
culató;;;;masculí;;
culejador;;-a;;adjectiu i masculí i femení;;
culiblanc;;-a;;masculí;;
culiblanc;;-a;;masculí i femení;col·loquial;
cullerejar;;;;verb transitiu i intransitiu;;
cullerejar;;;;verb intransitiu;;
cullerotada;;;;femení;;
culmenejar;;;;verb intransitiu;;
culmener;;-a;;adjectiu i masculí i femení;;
culó;;-ona;;adjectiu;;
culó;;-ona;;locució;;
culoneta;;;;femení;;
culotament;;;;masculí;;
culroja;;;;femení;;
culsalat;;-ada;;masculí i femení;col·loquial;
cult;;-a;;adjectiu;;
cult;;;;masculí;;
culturalització;;;;femení;;
culturalitzar;;;;verb transitiu;;
cupuliforme;;;;adjectiu;;
curander;;-a;;masculí i femení;;
curanto;;;;masculí;;
curialisme;;;;masculí;;
cursela;;;;femení;col·loquial;
curviforme;;;;adjectiu;;
cusc;;-a;;adjectiu;;
cuscarrar;;;;verb intransitiu;;
cuspidifoliat;;-ada;;adjectiu;;
cut;;;;masculí;;
cutinitzar-se;;;;verb pronominal;;
cútio;;-a;;adjectiu;;
cutisector;;;;masculí;;
cutre;;;;adjectiu;col·loquial;
cutre;;;;adjectiu i masculí i femení;col·loquial;
cutxamanda;;;;adjectiu i masculí i femení invariable;;
cutxamandejar;;;;verb intransitiu;;
d;;;;femení;;
daçò;;;;masculí;col·loquial;
daçona;;;;femení;col·loquial;
dacrioadenàlgia;;;;femení;;
dacrioadenitis;;;;femení invariable;;
dacriòlit;;;;femení;;
dacriolitiasi;;;;femení;;
dacriopiorrea;;;;femení;;
dacriorrea;;;;femení;;
dacser;;-a;;adjectiu;;
dactil;;;;masculí;;
dactiliforme;;;;adjectiu;;
